user_name,user_app_rating,user_review_date,company_comment_date,comment,company_answer_check
허준,3,2016년 12월 22일,2017년 1월 6일,접속 할 때 될때가 있고 안될때가 있는데 다른 건 통신망으로 접속하느냐 와이파이로 접속하느냐의 차이네요. 통신망을 사용할 때가 더 많은데 통신망으로 접속이 안되게 하는 이유는 뭔지 모르겠네요. SK텔레콤 쓰는데 이유나 좀 알고 싶네요.,answer
Sumin Lee,4,2016년 12월 21일,no_answer,이런서비스가있어다행입니다,no_answer
Google 사용자,5,2016년 12월 20일,no_answer,실제 일햇던분들의 생생한 후기를 들을 수 있어 좋습니다,no_answer
강진주,1,2016년 12월 18일,2016년 12월 20일,모바일로 접속할수가 없네요. 로그인자체가 안되고 비밀번호등의 오류라고 하는데 변경하려고 해도 자꾸 에러라고 뜨네요. 이럴거면 앱을 안만드는게 더 좋을뻔 했어요. 모바일로 홈페이지를 이용할수가없어서 매우 짜증나네요.,answer
Rider Yub's,1,2016년 12월 16일,2016년 12월 20일,어플을 무슨 이런 식으로 만들어놓은건지,answer
고관호,5,2016년 12월 14일,no_answer,"실질적이고,필요한정보들이엄청많은듯~~",no_answer
김하은,1,2016년 12월 9일,2016년 12월 20일,리뷰 쓰고도 등록승인까지 한참 걸리더니 이젠 제가 썼던 회사 리뷰가 말도 없이 삭제되어있네요. 이럴거면 이 앱을 만든 취지가 불분명해질 뿐만아니라 사용할 이유가 없죠. 양심적으로 운영합시다;; 좋은 후기만 보려고 이 어플 사용하는거 아니잖아요,answer
호랭이,5,2016년 12월 9일,2016년 12월 9일,성신여대는 제휴대학에서 왜빠졌는지 궁금해요!!!!향후다시 들어갈 계획이 있는지도요ㅠㅠ 너무애용하고있었는데 상실감이 크네요ㅠㅠㅠㅠㅠ 전에도 문의남겼는데 답변부탁드릴게요,answer
sarah love,1,2016년 12월 8일,2016년 12월 9일,이럴꺼면 앱은 왜만들었는지?접속 자체가 안됩니다 매번,answer
Google 사용자,3,2016년 12월 7일,no_answer,사람인과 연계해도 괘안을듯,no_answer
Ahra Cho,3,2016년 12월 5일,2016년 12월 6일,연봉정보 및 리뷰쓸때 직종분류를 너무자세하게 노출하면 중소기업은 인원이적어서 누가썼는지 금방알듯해요 그래서 정확히 입력못한것도있어요;;,answer
Jongseok Baek,4,2016년 12월 5일,2016년 12월 6일,기업 리뷰나 면접후기 볼 때 정규직/비정규직/인턴/아르바이트 등을 구분할 수 있게 해주시면 많은 도움 될 것 같습니다. 또한 질 낮은 리뷰들이 너무 많은데 이를 거를 수 있는 시스템이 필요해보입니다.,answer
김정미,5,2016년 12월 5일,2016년 12월 9일,면접 제의 올때 꼭 봐요 최고!!,answer
k재웅,5,2016년 12월 4일,2016년 12월 6일,리뷰시스템에 있어서 리뷰를 남겨야 확인할 수 있어서 해당회사에 잘 모르는데도 불구하고 리뷰를 작성하는 경우가 발생하기 때문에 차라리 유료버젼을 만들어서 배포하셨음 좋겠습니다,answer
Doosan Kim,5,2016년 12월 3일,2016년 12월 9일,회사 정보 얻는데 최고,answer
